vendor,product,ecosystem
apache,zookeeper,MULTIPLE
tensorflow,tensorflow,MULTIPLE
scikit-learn,scikit-learn,MULTIPLE
unicode,international_components_for_unicode,MULTIPLE
icu-project,international_components_for_unicode,MULTIPLE
